lv_id,target_set_id,target_set_label,node_type,feature_idx,metapath,real_mean,n_real_genes
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,0,GaDlA,0.9766659736633301,8
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,1,GcGdA,0.530951738357544,8
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,2,GdDlA,0.0,8
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,3,GiGdA,2.3078670501708984,8
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,4,GuDlA,0.46279942989349365,8
LV57,hypothyroidism,Hypothyroidism disease term,Disease,5,GbCpD,0.0,8
LV57,hypothyroidism,Hypothyroidism disease term,Disease,6,GdAlD,1.3599541187286377,8
LV57,hypothyroidism,Hypothyroidism disease term,Disease,7,GdCpD,0.0,8
LV57,hypothyroidism,Hypothyroidism disease term,Disease,8,GeAlD,1.1769838333129883,8
LV57,hypothyroidism,Hypothyroidism disease term,Disease,9,GuAlD,0.8548583984375,8
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,10,G<rGpBP,0.027026381343603134,8
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,11,GcGpBP,0.0,8
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,12,GdAdGpBP,0.5983695983886719,8
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,13,GiGpBP,0.09652963280677795,8
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,14,Gr>GpBP,0.11031574010848999,8
