feature_idx,target_set_id,target_set_label,node_type,target_abbrev,metapath,n_targets,target_ids
0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDlA,1,UBERON:0001013
1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGdA,1,UBERON:0001013
2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDlA,1,UBERON:0001013
3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGdA,1,UBERON:0001013
4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDlA,1,UBERON:0001013
5,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCpD,1,DOID:1459
6,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAlD,1,DOID:1459
7,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCpD,1,DOID:1459
8,hypothyroidism,Hypothyroidism disease term,Disease,D,GeAlD,1,DOID:1459
9,hypothyroidism,Hypothyroidism disease term,Disease,D,GuAlD,1,DOID:1459
10,neutrophil_bp,Neutrophil biological process terms,Biological Process,BP,G<rGpBP,35,GO:0001780|GO:0001781|GO:0002283|GO:0002446|GO:0030223|GO:0030593|GO:0033029|GO:0033030|GO:0033031|GO:0042119|GO:0043312|GO:0043313|GO:0043314|GO:0045658|GO:0045659|GO:0070488|GO:0070942|GO:0070943|GO:0070944|GO:0070945|GO:0070946|GO:0070947|GO:0072672|GO:0090022|GO:0090023|GO:0090024|GO:0097350|GO:1902563|GO:1902564|GO:1902622|GO:1902623|GO:1902624|GO:1990266|GO:2000389|GO:2000391
11,neutrophil_bp,Neutrophil biological process terms,Biological Process,BP,GcGpBP,35,GO:0001780|GO:0001781|GO:0002283|GO:0002446|GO:0030223|GO:0030593|GO:0033029|GO:0033030|GO:0033031|GO:0042119|GO:0043312|GO:0043313|GO:0043314|GO:0045658|GO:0045659|GO:0070488|GO:0070942|GO:0070943|GO:0070944|GO:0070945|GO:0070946|GO:0070947|GO:0072672|GO:0090022|GO:0090023|GO:0090024|GO:0097350|GO:1902563|GO:1902564|GO:1902622|GO:1902623|GO:1902624|GO:1990266|GO:2000389|GO:2000391
12,neutrophil_bp,Neutrophil biological process terms,Biological Process,BP,GdAdGpBP,35,GO:0001780|GO:0001781|GO:0002283|GO:0002446|GO:0030223|GO:0030593|GO:0033029|GO:0033030|GO:0033031|GO:0042119|GO:0043312|GO:0043313|GO:0043314|GO:0045658|GO:0045659|GO:0070488|GO:0070942|GO:0070943|GO:0070944|GO:0070945|GO:0070946|GO:0070947|GO:0072672|GO:0090022|GO:0090023|GO:0090024|GO:0097350|GO:1902563|GO:1902564|GO:1902622|GO:1902623|GO:1902624|GO:1990266|GO:2000389|GO:2000391
13,neutrophil_bp,Neutrophil biological process terms,Biological Process,BP,GiGpBP,35,GO:0001780|GO:0001781|GO:0002283|GO:0002446|GO:0030223|GO:0030593|GO:0033029|GO:0033030|GO:0033031|GO:0042119|GO:0043312|GO:0043313|GO:0043314|GO:0045658|GO:0045659|GO:0070488|GO:0070942|GO:0070943|GO:0070944|GO:0070945|GO:0070946|GO:0070947|GO:0072672|GO:0090022|GO:0090023|GO:0090024|GO:0097350|GO:1902563|GO:1902564|GO:1902622|GO:1902623|GO:1902624|GO:1990266|GO:2000389|GO:2000391
14,neutrophil_bp,Neutrophil biological process terms,Biological Process,BP,Gr>GpBP,35,GO:0001780|GO:0001781|GO:0002283|GO:0002446|GO:0030223|GO:0030593|GO:0033029|GO:0033030|GO:0033031|GO:0042119|GO:0043312|GO:0043313|GO:0043314|GO:0045658|GO:0045659|GO:0070488|GO:0070942|GO:0070943|GO:0070944|GO:0070945|GO:0070946|GO:0070947|GO:0072672|GO:0090022|GO:0090023|GO:0090024|GO:0097350|GO:1902563|GO:1902564|GO:1902622|GO:1902623|GO:1902624|GO:1990266|GO:2000389|GO:2000391
