lv_id,target_set_id,target_set_label,node_type,feature_idx,metapath,real_mean,n_real_genes,perm_null_mean,perm_null_std,p_perm,d_perm,b_eff_perm,rand_null_mean,rand_null_std,p_rand,d_rand,b_eff_rand,diff_perm,diff_rand,min_diff,min_d,p_perm_fdr,p_rand_fdr,supported
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,0,GaDlA,0.97666597366333,8,0.7650875627994539,0.4078394867578125,0.3333333333333333,0.0622205734252929,20,0.583919648528099,0.4705591701155785,0.196078431372549,0.2357073873281479,50,0.21157841086387608,0.392746325135231,0.21157841086387608,0.0622205734252929,0.8333333333333333,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,3,GiGdA,2.3078670501708984,8,1.889653903245926,0.6070150703320486,0.2857142857142857,0.165473386645317,20,2.18600464463234,0.774309417653744,0.5238095238095238,0.0054942651768215,20,0.41821314692497236,0.12186240553855843,0.12186240553855843,0.0054942651768215,0.8333333333333333,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,4,GuDlA,0.4627994298934936,8,0.567022329568863,0.3496403471999437,0.9047619047619048,0.0,20,0.2554003834724426,0.4412428843489145,0.3809523809523809,0.3535534143447876,20,-0.10422289967536941,0.207399046421051,-0.10422289967536941,0.0,1.0,0.8730158730158731,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,1,GcGdA,0.530951738357544,8,1.7147414088249209,0.4845250093678596,1.0,-0.4155904799699783,20,1.33540311306715,0.8887593059882127,0.8571428571428571,-0.3372268825769424,20,-1.183789670467377,-0.804451374709606,-1.183789670467377,-0.4155904799699783,1.0,1.0,False
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,2,GdDlA,0.0,8,0.0,0.0,1.0,,20,0.2439743757247924,0.3634162218572627,1.0,-0.3535533845424652,20,0.0,-0.2439743757247924,-0.2439743757247924,,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,6,GdAlD,1.3599541187286377,8,1.500674274563789,0.4017330722944958,0.5714285714285714,-0.0998245812952518,20,2.092845886945724,0.3298772973741755,1.0,-0.4426833540201187,20,-0.1407201558351514,-0.7328917682170863,-0.7328917682170863,-0.4426833540201187,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,8,GeAlD,1.1769838333129885,8,1.281861209869385,0.160715915107796,0.7142857142857143,-0.0942171849310398,20,1.7183710753917694,0.1776373449903907,0.9523809523809524,-0.5294941961765289,20,-0.1048773765563964,-0.5413872420787809,-0.5413872420787809,-0.5294941961765289,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,9,GuAlD,0.8548583984375,8,1.486897283792496,0.4063187514363067,1.0,-0.3357558697462082,20,2.089265716075897,0.2485631012336786,1.0,-0.7575730383396149,20,-0.6320388853549961,-1.234407317638397,-1.234407317638397,-0.7575730383396149,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,5,GbCpD,0.0,8,0.0,0.0,1.0,,20,0.0,0.0,1.0,,20,0.0,0.0,0.0,,1.0,1.0,False
LV57,hypothyroidism,Hypothyroidism disease term,Disease,7,GdCpD,0.0,8,0.0,0.0,1.0,,20,0.0,0.0,1.0,,20,0.0,0.0,0.0,,1.0,1.0,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,14,Gr>GpBP,0.1103157401084899,8,0.0588055212516337,0.0500372131861344,0.3333333333333333,0.2652217149734497,20,0.0678814966231584,0.0793042018976754,0.2857142857142857,0.4314171224832535,20,0.051510218856856194,0.042434243485331494,0.042434243485331494,0.2652217149734497,0.8333333333333333,0.47619047619047616,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,12,GdAdGpBP,0.5983695983886719,8,0.4960441887378693,0.1067335828082031,0.2258064516129032,0.2394676357507705,30,0.5113873372475306,0.1078919062460775,0.2258064516129032,0.1537964269518852,30,0.10232540965080256,0.08698226114114127,0.08698226114114127,0.1537964269518852,0.8333333333333333,0.47619047619047616,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,13,GiGpBP,0.0965296328067779,8,0.1468292193487286,0.0785640914059831,0.7142857142857143,-0.0974796414375305,20,0.066491210879758,0.0711738630203095,0.2857142857142857,0.1460683718323707,20,-0.050299586541950714,0.0300384219270199,-0.050299586541950714,-0.0974796414375305,1.0,0.47619047619047616,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,10,G<rGpBP,0.0270263813436031,8,0.0762284649536013,0.0328553800905024,1.0,-0.3535533845424652,20,0.0633793175220489,0.0730441541558417,0.6190476190476191,-0.1407871395349502,20,-0.049202083609998205,-0.036352936178445795,-0.049202083609998205,-0.3535533845424652,1.0,0.7738095238095238,False
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,11,GcGpBP,0.0,8,0.0,0.0,1.0,,20,0.0025105558335781,0.0112275470103786,1.0,-0.3535533845424652,20,0.0,-0.0025105558335781,-0.0025105558335781,,1.0,1.0,False
