target_set_id,target_set_label,node_type,target_id,target_name,target_position
adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58
hypothyroidism,Hypothyroidism disease term,Disease,DOID:1459,hypothyroidism,56
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0001780,neutrophil homeostasis,253
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0001781,neutrophil apoptotic process,254
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0002283,neutrophil activation involved in immune response,478
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0002446,neutrophil mediated immunity,549
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0030223,neutrophil differentiation,3510
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0030593,neutrophil chemotaxis,3596
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0033029,regulation of neutrophil apoptotic process,4317
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0033030,negative regulation of neutrophil apoptotic process,4318
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0033031,positive regulation of neutrophil apoptotic process,4319
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0042119,neutrophil activation,5213
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0043312,neutrophil degranulation,5590
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0043313,regulation of neutrophil degranulation,5591
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0043314,negative regulation of neutrophil degranulation,5592
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0045658,regulation of neutrophil differentiation,6132
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0045659,negative regulation of neutrophil differentiation,6133
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070488,neutrophil aggregation,8442
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070942,neutrophil mediated cytotoxicity,8552
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070943,neutrophil mediated killing of symbiont cell,8553
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070944,neutrophil mediated killing of bacterium,8554
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070945,neutrophil mediated killing of gram-negative bacterium,8555
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070946,neutrophil mediated killing of gram-positive bacterium,8556
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0070947,neutrophil mediated killing of fungus,8557
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0072672,neutrophil extravasation,9176
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0090022,regulation of neutrophil chemotaxis,9265
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0090023,positive regulation of neutrophil chemotaxis,9266
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0090024,negative regulation of neutrophil chemotaxis,9267
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:0097350,neutrophil clearance,9589
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1902563,regulation of neutrophil activation,10232
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1902564,negative regulation of neutrophil activation,10233
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1902622,regulation of neutrophil migration,10259
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1902623,negative regulation of neutrophil migration,10260
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1902624,positive regulation of neutrophil migration,10261
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:1990266,neutrophil migration,10837
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:2000389,regulation of neutrophil extravasation,11039
neutrophil_bp,Neutrophil biological process terms,Biological Process,GO:2000391,positive regulation of neutrophil extravasation,11040
